"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Kwi. '19","1,523","1,537","1,695","1,495","-1,23%"
"Mar. '19","1,542","1,797","1,811","1,421","-14,09%"
"Luty '19","1,795","1,782","1,863","1,756","0,73%"
"Sty. '19","1,782","1,832","1,970","1,744","-4,76%"
"Gru. '18","1,871","2,208","2,240","1,850","-14,41%"
"Lis. '18","2,186","2,373","2,400","2,176","-7,72%"
"Paź. '18","2,369","2,273","2,405","2,273","4,87%"
"Wrz. '18","2,259","2,097","2,269","2,061","7,88%"
"Sie. '18","2,094","2,122","2,256","2,089","-1,37%"
"Lip. '18","2,123","1,995","2,136","1,961","6,74%"
"Cze. '18","1,989","2,023","2,071","1,838","-1,92%"
"Maj '18","2,028","1,989","2,212","1,954","1,76%"
"Kwi. '18","1,993","1,895","2,060","1,881","5,34%"
"Mar. '18","1,892","1,899","2,026","1,826","-0,11%"
"Luty '18","1,894","1,909","1,980","1,841","-0,26%"
"Sty. '18","1,899","1,735","1,912","1,726","9,90%"
"Gru. '17","1,728","1,457","1,751","1,452","16,91%"
"Lis. '17","1,478","1,453","1,539","1,449","1,51%"
"Paź. '17","1,456","1,584","1,636","1,435","-8,02%"
"Wrz. '17","1,583","1,348","1,713","1,348","17,26%"
"Sie. '17","1,350","1,438","1,445","1,313","-6,05%"
"Lip. '17","1,437","1,255","1,481","1,255","16,36%"
"Cze. '17","1,235","0,762","1,236","0,729","64,23%"
"Maj '17","0,752","0,795","0,805","0,713","-5,41%"
"Kwi. '17","0,795","0,867","0,877","0,783","-8,41%"
"Mar. '17","0,868","0,893","1,031","0,833","0,23%"
"Luty '17","0,866","0,935","0,984","0,844","-6,78%"
"Sty. '17","0,929","0,943","1,016","0,882","-0,21%"
"Gru. '16","0,931","0,848","1,035","0,841","9,79%"
"Lis. '16","0,848","0,572","0,856","0,538","48,25%"
"Paź. '16","0,572","0,530","0,639","0,516","9,79%"
"Wrz. '16","0,521","0,592","0,640","0,457","-11,54%"
"Sie. '16","0,589","0,558","0,622","0,503","7,68%"
"Lip. '16","0,547","0,543","0,640","0,444","0,74%"
"Cze. '16","0,543","0,642","0,672","0,472","-16,20%"
"Maj '16","0,648","0,741","0,754","0,551","-11,84%"
"Kwi. '16","0,735","0,585","0,768","0,554","26,72%"
"Mar. '16","0,580","0,537","0,635","0,498","10,69%"
"Luty '16","0,524","0,451","0,545","0,297","20,46%"
"Sty. '16","0,435","0,501","0,524","0,298","-13,35%"
"Gru. '15","0,502","0,691","0,710","0,484","-26,39%"
"Lis. '15","0,682","0,615","0,738","0,615","10,89%"
"Paź. '15","0,615","0,551","0,626","0,468","15,60%"
"Wrz. '15","0,532","0,465","0,607","0,440","10,14%"
"Sie. '15","0,483","0,386","0,483","0,310","24,48%"
"Lip. '15","0,388","0,525","0,535","0,358","-16,20%"
"Cze. '15","0,463","0,581","0,717","0,463","-20,17%"
"Maj '15","0,580","0,694","0,778","0,567","-15,82%"
"Kwi. '15","0,689","0,495","0,730","0,449","39,19%"
"Mar. '15","0,495","0,446","0,665","0,440","10,49%"
"Luty '15","0,448","0,389","0,501","0,350","14,58%"
"Sty. '15","0,391","1,068","1,102","0,387","-63,39%"
"Gru. '14","1,068","1,049","1,132","0,994","1,81%"
"Lis. '14","1,049","1,151","1,195","1,049","-8,86%"
"Paź. '14","1,151","1,288","1,289","0,962","-10,50%"
"Wrz. '14","1,286","1,238","1,351","1,226","5,15%"
"Sie. '14","1,223","1,127","1,227","1,066","8,33%"
"Lip. '14","1,129","1,175","1,222","1,093","-2,84%"
"Cze. '14","1,162","1,136","1,217","1,125","2,38%"
"Maj '14","1,135","1,188","1,204","1,116","-4,54%"
"Kwi. '14","1,189","1,252","1,301","1,180","-4,42%"
"Mar. '14","1,244","1,181","1,281","1,158","5,33%"
"Luty '14","1,181","1,144","1,348","1,119","3,14%"
"Sty. '14","1,145","1,209","1,400","1,141","-5,14%"
"Gru. '13","1,207","1,199","1,233","1,156","1,17%"
"Lis. '13","1,193","1,221","1,284","1,176","-1,81%"
"Paź. '13","1,215","1,414","1,443","1,196","-13,52%"
"Wrz. '13","1,405","1,458","1,582","1,388","-2,29%"
"Sie. '13","1,438","1,274","1,515","1,256","13,05%"
"Lip. '13","1,272","1,326","1,374","1,172","-5,71%"
"Cze. '13","1,349","1,199","1,394","1,132","12,89%"
"Maj '13","1,195","1,027","1,210","1,008","17,27%"
"Kwi. '13","1,019","1,100","1,109","1,007","-7,36%"
"Mar. '13","1,100","1,111","1,188","1,079","-0,63%"
"Luty '13","1,107","1,264","1,329","1,102","-11,65%"
"Sty. '13","1,253","1,220","1,321","1,183","3,13%"
"Gru. '12","1,215","1,140","1,245","1,096","6,86%"
"Lis. '12","1,137","1,180","1,211","1,124","-2,90%"
"Paź. '12","1,171","1,145","1,265","1,124","2,54%"
"Wrz. '12","1,142","1,222","1,317","1,130","-6,55%"
"Sie. '12","1,222","1,133","1,397","1,102","8,62%"
"Lip. '12","1,125","1,053","1,178","0,966","3,97%"
"Cze. '12","1,082","1,106","1,162","0,904","-2,70%"
