"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Kwi. '19","2,288","2,237","2,402","2,237","3,54%"
"Mar. '19","2,210","2,494","2,552","2,099","-11,49%"
"Luty '19","2,497","2,453","2,539","2,424","2,38%"
"Sty. '19","2,439","2,481","2,618","2,332","-0,81%"
"Gru. '18","2,459","2,852","2,869","2,451","-12,52%"
"Lis. '18","2,811","2,928","3,053","2,794","-4,00%"
"Paź. '18","2,928","2,891","3,002","2,828","1,46%"
"Wrz. '18","2,886","2,697","2,924","2,691","7,13%"
"Sie. '18","2,694","2,761","2,791","2,645","-2,71%"
"Lip. '18","2,769","2,622","2,782","2,597","5,49%"
"Cze. '18","2,625","2,558","2,734","2,556","2,62%"
"Maj '18","2,558","2,632","2,776","2,410","-2,70%"
"Kwi. '18","2,629","2,402","2,658","2,347","10,18%"
"Mar. '18","2,386","2,409","2,528","2,338","-1,08%"
"Luty '18","2,412","2,300","2,451","2,091","5,24%"
"Sty. '18","2,292","1,990","2,305","1,982","16,17%"
"Gru. '17","1,973","1,900","2,030","1,848","4,01%"
"Lis. '17","1,897","1,728","1,911","1,702","9,91%"
"Paź. '17","1,726","1,633","1,769","1,587","6,02%"
"Wrz. '17","1,628","1,438","1,630","1,352","13,69%"
"Sie. '17","1,432","1,516","1,527","1,403","-5,23%"
"Lip. '17","1,511","1,557","1,617","1,489","-2,45%"
"Cze. '17","1,549","1,443","1,554","1,402","7,94%"
"Maj '17","1,435","1,449","1,580","1,390","-1,10%"
"Kwi. '17","1,451","1,500","1,524","1,350","-3,07%"
"Mar. '17","1,497","1,554","1,700","1,476","-1,77%"
"Luty '17","1,524","1,473","1,576","1,388","3,67%"
"Sty. '17","1,470","1,459","1,547","1,399","0,75%"
"Gru. '16","1,459","1,406","1,643","1,356","4,14%"
"Lis. '16","1,401","1,000","1,458","0,863","41,23%"
"Paź. '16","0,992","0,883","1,056","0,883","13,37%"
"Wrz. '16","0,875","0,925","0,992","0,821","-5,10%"
"Sie. '16","0,922","0,758","0,965","0,745","23,43%"
"Lip. '16","0,747","0,698","0,889","0,623","6,87%"
"Cze. '16","0,699","1,036","1,061","0,588","-32,72%"
"Maj '16","1,039","0,929","1,097","0,816","10,89%"
"Kwi. '16","0,937","0,863","1,047","0,814","9,59%"
"Mar. '16","0,855","0,900","1,205","0,852","-5,32%"
"Luty '16","0,903","0,980","1,015","0,697","-6,81%"
"Sty. '16","0,969","1,331","1,504","0,961","-25,86%"
"Gru. '15","1,307","1,228","1,383","1,162","6,87%"
"Lis. '15","1,223","1,029","1,281","1,026","18,85%"
"Paź. '15","1,029","0,911","1,064","0,785","14,21%"
"Wrz. '15","0,901","1,051","1,133","0,898","-14,27%"
"Sie. '15","1,051","0,988","1,111","0,837","7,57%"
"Lip. '15","0,977","1,047","1,157","0,877","-2,40%"
"Cze. '15","1,001","0,933","1,173","0,917","7,98%"
"Maj '15","0,927","0,916","1,056","0,891","2,32%"
"Kwi. '15","0,906","0,892","0,973","0,774","2,72%"
"Mar. '15","0,882","1,008","1,155","0,879","-11,80%"
"Luty '15","1,000","0,754","1,120","0,746","35,87%"
"Sty. '15","0,736","1,108","1,125","0,703","-31,41%"
"Gru. '14","1,073","0,864","1,180","0,829","24,48%"
"Lis. '14","0,862","0,913","1,018","0,851","-6,61%"
"Paź. '14","0,923","1,048","1,057","0,559","-11,76%"
"Wrz. '14","1,046","0,937","1,136","0,918","12,59%"
"Sie. '14","0,929","1,004","1,037","0,826","-6,73%"
"Lip. '14","0,996","0,870","1,058","0,864","14,88%"
"Cze. '14","0,867","0,781","0,997","0,776","11,73%"
"Maj '14","0,776","0,854","0,940","0,723","-8,81%"
"Kwi. '14","0,851","0,882","0,945","0,774","-2,30%"
"Mar. '14","0,871","0,646","0,956","0,638","30,00%"
"Luty '14","0,670","0,678","0,845","0,608","0,45%"
"Sty. '14","0,667","0,781","0,901","0,664","-13,04%"
"Gru. '13","0,767","0,548","0,804","0,545","40,22%"
"Lis. '13","0,547","0,574","0,649","0,510","-3,87%"
"Paź. '13","0,569","0,616","0,712","0,553","-7,18%"
"Wrz. '13","0,613","0,824","0,979","0,611","-21,51%"
"Sie. '13","0,781","0,596","0,852","0,569","31,04%"
"Lip. '13","0,596","0,658","0,767","0,572","-8,31%"
"Cze. '13","0,650","0,501","0,798","0,435","32,65%"
"Maj '13","0,490","0,308","0,532","0,292","57,56%"
"Kwi. '13","0,311","0,364","0,367","0,298","-12,15%"
"Mar. '13","0,354","0,346","0,430","0,330","2,31%"
"Luty '13","0,346","0,404","0,441","0,343","-14,99%"
"Sty. '13","0,407","0,354","0,442","0,354","14,97%"
"Gru. '12","0,354","0,324","0,406","0,306","9,26%"
"Lis. '12","0,324","0,383","0,417","0,317","-15,40%"
"Paź. '12","0,383","0,306","0,444","0,303","25,16%"
"Wrz. '12","0,306","0,295","0,373","0,290","4,44%"
"Sie. '12","0,293","0,279","0,439","0,274","2,81%"
"Lip. '12","0,285","0,407","0,407","0,271","-28,03%"
"Cze. '12","0,396","0,351","0,436","0,314","14,45%"
