"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Kwi. '19","21,510","22,290","22,290","20,060","-1,33%"
"Mar. '19","21,800","16,750","22,890","16,750","31,17%"
"Luty '19","16,620","16,440","16,840","16,250","1,40%"
"Sty. '19","16,390","17,890","18,670","16,180","-8,38%"
"Gru. '18","17,890","17,350","18,980","17,170","1,88%"
"Lis. '18","17,560","20,770","20,860","17,040","-15,45%"
"Paź. '18","20,770","21,770","23,530","20,380","-4,46%"
"Wrz. '18","21,740","26,950","29,370","21,400","-21,23%"
"Sie. '18","27,600","20,280","29,890","20,200","36,09%"
"Lip. '18","20,280","17,930","25,780","17,930","13,36%"
"Cze. '18","17,890","16,100","18,580","16,100","11,12%"
"Maj '18","16,100","13,860","16,620","13,820","17,35%"
"Kwi. '18","13,720","13,710","14,400","13,470","-0,15%"
"Mar. '18","13,740","12,570","13,860","12,510","9,31%"
"Luty '18","12,570","12,560","12,900","12,350","0,08%"
"Sty. '18","12,560","12,960","13,990","12,550","-3,38%"
"Gru. '17","13,000","13,830","13,840","12,600","-1,74%"
"Lis. '17","13,230","12,390","14,080","12,340","6,78%"
"Paź. '17","12,390","11,400","12,600","11,270","9,74%"
"Wrz. '17","11,290","10,930","11,390","10,930","3,11%"
"Sie. '17","10,950","10,950","11,120","10,830","0,46%"
"Lip. '17","10,900","10,660","10,950","10,470","2,54%"
"Cze. '17","10,630","10,530","10,720","10,330","0,95%"
"Maj '17","10,530","10,810","11,030","10,490","-2,68%"
"Kwi. '17","10,820","10,840","11,040","10,590","-0,09%"
"Mar. '17","10,830","10,820","11,280","10,700","1,21%"
"Luty '17","10,700","10,820","11,000","10,530","-0,37%"
"Sty. '17","10,740","10,500","11,600","10,360","2,58%"
"Gru. '16","10,470","10,200","11,650","9,940","3,66%"
"Lis. '16","10,100","8,970","10,660","8,880","13,23%"
"Paź. '16","8,920","8,320","8,970","8,150","7,47%"
"Wrz. '16","8,300","8,560","8,610","7,960","-2,70%"
"Sie. '16","8,530","8,790","9,020","8,380","-3,51%"
"Lip. '16","8,840","8,620","9,580","6,740","3,15%"
"Cze. '16","8,570","9,110","9,130","5,860","-6,03%"
"Maj '16","9,120","9,060","10,150","9,000","1,33%"
"Kwi. '16","9,000","9,740","9,820","8,870","-7,60%"
"Mar. '16","9,740","10,660","10,660","9,660","-8,63%"
"Luty '16","10,660","10,700","10,870","10,530","0,19%"
"Sty. '16","10,640","10,830","11,150","10,600","-1,75%"
"Gru. '15","10,830","10,390","10,920","10,160","5,45%"
"Lis. '15","10,270","9,460","10,680","9,380","4,16%"
"Paź. '15","9,860","11,190","11,190","9,810","-11,65%"
"Wrz. '15","11,160","10,590","11,550","10,570","4,89%"
"Sie. '15","10,640","9,650","10,980","9,530","10,83%"
"Lip. '15","9,600","9,540","10,150","9,350","0,42%"
"Cze. '15","9,560","9,380","9,960","9,160","2,25%"
"Maj '15","9,350","9,560","9,910","8,740","-2,20%"
"Kwi. '15","9,560","8,360","10,090","7,730","15,46%"
"Mar. '15","8,280","8,190","8,780","7,840","2,35%"
"Luty '15","8,090","6,960","8,280","6,880","15,57%"
"Sty. '15","7,000","7,910","8,100","6,570","-10,83%"
"Gru. '14","7,850","7,610","8,890","7,250","3,84%"
"Lis. '14","7,560","8,350","8,560","7,410","-9,46%"
"Paź. '14","8,350","9,560","9,560","8,160","-11,73%"
"Wrz. '14","9,460","8,890","10,370","8,680","6,41%"
"Sie. '14","8,890","8,560","9,610","8,470","5,21%"
"Lip. '14","8,450","8,230","8,470","8,050","2,92%"
"Cze. '14","8,210","8,480","8,990","7,980","-2,15%"
"Maj '14","8,390","8,830","9,900","8,250","-8,11%"
"Kwi. '14","9,130","10,100","10,230","8,930","-9,60%"
"Mar. '14","10,100","10,820","11,460","9,940","-5,43%"
"Luty '14","10,680","10,580","10,920","10,230","1,91%"
"Sty. '14","10,480","10,270","11,330","9,590","2,85%"
"Gru. '13","10,190","8,990","10,320","8,760","13,73%"
"Lis. '13","8,960","8,210","9,170","8,080","9,27%"
"Paź. '13","8,200","8,520","8,720","7,760","-6,39%"
"Wrz. '13","8,760","9,850","9,860","7,830","-10,52%"
"Sie. '13","9,790","8,960","10,380","8,410","8,90%"
"Lip. '13","8,990","8,350","12,560","7,650","6,01%"
"Cze. '13","8,480","6,800","8,980","6,390","34,18%"
"Maj '13","6,320","5,350","6,530","4,740","18,80%"
"Kwi. '13","5,320","6,380","6,470","5,310","-16,61%"
"Mar. '13","6,380","5,720","6,450","5,670","11,93%"
"Luty '13","5,700","6,030","6,060","5,690","-5,32%"
"Sty. '13","6,020","6,130","6,520","5,760","-3,83%"
"Gru. '12","6,260","6,030","7,020","5,780","3,81%"
"Lis. '12","6,030","7,030","7,030","5,980","-13,98%"
"Paź. '12","7,010","7,420","8,230","7,010","-6,41%"
"Wrz. '12","7,490","7,760","7,840","7,410","-4,46%"
"Sie. '12","7,840","7,880","8,390","7,770","-2,12%"
"Lip. '12","8,010","8,860","8,860","7,810","-8,35%"
"Cze. '12","8,740","9,260","9,520","8,670","-6,62%"
