"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Kwi. '19","20,100","19,740","20,910","17,620","13,43%"
"Mar. '19","17,720","15,440","20,430","15,440","14,77%"
"Luty '19","15,440","15,200","15,810","15,040","2,46%"
"Sty. '19","15,070","17,390","17,390","15,070","-11,25%"
"Gru. '18","16,980","16,790","18,010","16,610","0,41%"
"Lis. '18","16,910","19,450","19,770","16,490","-13,06%"
"Paź. '18","19,450","20,790","24,870","19,450","-6,04%"
"Wrz. '18","20,700","25,940","25,940","20,560","-18,02%"
"Sie. '18","25,250","19,530","26,170","18,250","28,96%"
"Lip. '18","19,580","16,960","19,790","16,930","16,55%"
"Cze. '18","16,800","14,790","18,690","14,790","13,59%"
"Maj '18","14,790","13,000","16,100","13,000","13,77%"
"Kwi. '18","13,000","12,930","13,940","12,790","0,54%"
"Mar. '18","12,930","12,040","13,400","12,000","7,39%"
"Luty '18","12,040","11,740","12,330","11,590","3,08%"
"Sty. '18","11,680","12,030","12,450","11,670","-2,75%"
"Gru. '17","12,010","12,890","12,890","11,310","-6,54%"
"Lis. '17","12,850","12,200","14,050","12,150","5,07%"
"Paź. '17","12,230","11,120","12,690","11,110","10,08%"
"Wrz. '17","11,110","10,970","11,540","10,870","2,02%"
"Sie. '17","10,890","10,590","10,990","10,520","2,83%"
"Lip. '17","10,590","10,480","10,850","10,330","1,05%"
"Cze. '17","10,480","10,370","10,610","9,750","0,87%"
"Maj '17","10,390","10,560","10,910","10,380","-1,61%"
"Kwi. '17","10,560","10,960","11,260","10,440","-3,12%"
"Mar. '17","10,900","10,770","12,660","10,760","1,21%"
"Luty '17","10,770","10,750","11,200","10,580","0,19%"
"Sty. '17","10,750","10,900","11,740","10,720","-2,18%"
"Gru. '16","10,990","10,710","11,410","10,620","2,71%"
"Lis. '16","10,700","9,660","11,130","9,640","10,88%"
"Paź. '16","9,650","9,150","9,680","7,680","6,63%"
"Wrz. '16","9,050","9,420","9,840","8,930","-3,93%"
"Sie. '16","9,420","9,410","9,700","9,090","0,32%"
"Lip. '16","9,390","8,850","10,690","8,720","6,10%"
"Cze. '16","8,850","9,460","9,610","8,830","-6,45%"
"Maj '16","9,460","8,970","10,690","8,900","5,70%"
"Kwi. '16","8,950","9,630","9,910","8,830","-6,96%"
"Mar. '16","9,620","10,460","10,510","9,600","-8,03%"
"Luty '16","10,460","10,610","11,920","10,340","-0,85%"
"Sty. '16","10,550","11,120","11,750","10,490","-1,49%"
"Gru. '15","10,710","10,320","11,100","10,100","5,00%"
"Lis. '15","10,200","9,730","10,650","9,300","4,19%"
"Paź. '15","9,790","11,040","11,080","9,510","-11,32%"
"Wrz. '15","11,040","10,190","11,600","10,160","8,34%"
"Sie. '15","10,190","9,580","11,280","9,530","6,26%"
"Lip. '15","9,590","9,390","10,460","9,280","2,13%"
"Cze. '15","9,390","9,340","10,160","9,130","2,29%"
"Maj '15","9,180","9,550","9,800","8,840","-2,96%"
"Kwi. '15","9,460","8,300","9,930","8,030","13,98%"
"Mar. '15","8,300","8,120","8,930","7,820","0,36%"
"Luty '15","8,270","7,020","8,370","6,880","19,16%"
"Sty. '15","6,940","8,030","8,510","6,580","-12,92%"
"Gru. '14","7,970","7,560","9,010","7,340","5,84%"
"Lis. '14","7,530","8,420","10,430","7,430","-10,25%"
"Paź. '14","8,390","9,660","9,670","8,230","-13,15%"
"Wrz. '14","9,660","8,790","9,830","8,690","10,02%"
"Sie. '14","8,780","8,620","9,530","8,620","2,09%"
"Lip. '14","8,600","8,410","8,690","8,230","2,02%"
"Cze. '14","8,430","8,600","8,960","8,190","-2,32%"
"Maj '14","8,630","9,060","10,330","8,540","-4,75%"
"Kwi. '14","9,060","10,010","11,840","8,980","-9,49%"
"Mar. '14","10,010","10,650","11,460","10,010","-4,39%"
"Luty '14","10,470","10,560","10,950","10,230","-1,13%"
"Sty. '14","10,590","10,110","11,230","9,050","4,75%"
"Gru. '13","10,110","9,050","10,140","8,980","11,22%"
"Lis. '13","9,090","8,450","9,400","8,330","7,57%"
"Paź. '13","8,450","8,950","8,950","5,590","-5,59%"
"Wrz. '13","8,950","9,790","10,030","8,220","-10,77%"
"Sie. '13","10,030","9,200","10,450","8,630","10,58%"
"Lip. '13","9,070","8,680","9,600","7,950","7,72%"
"Cze. '13","8,420","7,130","9,260","6,550","28,55%"
"Maj '13","6,550","5,860","6,800","5,390","13,91%"
"Kwi. '13","5,750","7,030","7,030","5,510","-12,88%"
"Mar. '13","6,600","6,170","6,780","6,130","7,32%"
"Luty '13","6,150","6,260","6,350","6,000","-1,44%"
"Sty. '13","6,240","6,350","6,920","6,130","-2,35%"
"Gru. '12","6,390","6,270","6,460","5,890","2,73%"
"Lis. '12","6,220","7,270","7,360","6,210","-15,37%"
"Paź. '12","7,350","7,770","8,180","7,310","-5,16%"
"Wrz. '12","7,750","7,930","7,950","7,490","-1,65%"
"Sie. '12","7,880","7,890","8,250","7,680","-1,38%"
"Lip. '12","7,990","8,720","8,820","7,760","-8,16%"
"Cze. '12","8,700","9,360","9,360","8,470","-6,75%"
