"Data","Ostatnio","Otwarcie","Max.","Min.","Zmiana%"
"Cze. '12","0,387","0,310","0,506","0,237","29,00%"
"Lip. '12","0,137","0,361","0,462","0,071","-64,60%"
"Sie. '12","0,126","0,132","0,304","0,074","-8,03%"
"Wrz. '12","0,240","0,107","0,415","0,099","90,48%"
"Paź. '12","0,318","0,249","0,392","0,191","32,50%"
"Lis. '12","0,367","0,328","0,429","0,192","15,41%"
"Gru. '12","0,378","0,359","0,488","0,280","3,00%"
"Sty. '13","0,453","0,428","0,574","0,370","19,84%"
"Luty '13","0,275","0,451","0,486","0,219","-39,29%"
"Mar. '13","0,293","0,263","0,451","0,224","6,55%"
"Kwi. '13","0,321","0,280","0,368","0,229","9,56%"
"Maj '13","0,504","0,318","0,543","0,276","57,01%"
"Cze. '13","0,622","0,508","0,889","0,481","23,41%"
"Lip. '13","0,490","0,631","0,686","0,417","-21,22%"
"Sie. '13","0,766","0,429","0,825","0,429","56,33%"
"Wrz. '13","0,772","0,785","0,990","0,733","0,78%"
"Paź. '13","0,708","0,773","0,847","0,642","-8,29%"
"Lis. '13","0,735","0,699","0,842","0,668","3,81%"
"Gru. '13","0,923","0,748","0,999","0,736","25,58%"
"Sty. '14","0,789","0,974","0,982","0,771","-14,52%"
"Luty '14","0,791","0,799","0,870","0,720","0,25%"
"Mar. '14","1,126","0,723","1,170","0,723","42,35%"
"Kwi. '14","1,098","1,133","1,183","0,975","-2,49%"
"Maj '14","1,045","1,097","1,219","1,007","-4,83%"
"Cze. '14","1,253","1,059","1,349","1,041","19,90%"
"Lip. '14","1,227","1,275","1,363","1,179","-2,08%"
"Sie. '14","1,242","1,255","1,344","0,995","1,22%"
"Wrz. '14","1,272","1,240","1,385","1,169","2,42%"
"Paź. '14","1,020","1,277","1,284","0,760","-19,81%"
"Lis. '14","0,798","0,996","1,071","0,774","-21,76%"
"Gru. '14","0,697","0,777","0,921","0,657","-12,66%"
"Sty. '15","0,535","0,706","0,738","0,515","-23,24%"
"Luty '15","0,744","0,535","0,765","0,530","39,07%"
"Mar. '15","0,799","1,015","1,130","0,710","7,39%"
"Kwi. '15","0,942","0,806","1,003","0,738","17,90%"
"Maj '15","0,891","0,927","1,091","0,888","-5,41%"
"Cze. '15","1,013","0,916","1,173","0,878","13,69%"
"Lip. '15","0,977","1,043","1,128","0,865","-3,55%"
"Sie. '15","0,894","0,998","1,084","0,755","-8,50%"
"Wrz. '15","0,761","0,913","0,945","0,728","-14,88%"
"Paź. '15","0,810","0,776","0,829","0,676","6,44%"
"Lis. '15","0,798","0,815","0,970","0,758","-1,48%"
"Gru. '15","0,879","0,818","0,915","0,719","10,15%"
"Sty. '16","0,492","0,835","0,856","0,487","-44,03%"
"Luty '16","0,517","0,492","0,578","0,311","5,08%"
"Mar. '16","0,613","0,520","0,777","0,500","18,57%"
"Kwi. '16","0,710","0,613","0,760","0,493","15,82%"
"Maj '16","0,631","0,721","0,722","0,522","-11,13%"
"Cze. '16","0,173","0,628","0,679","0,165","-72,58%"
"Lip. '16","0,137","0,142","0,287","0,115","-20,81%"
"Sie. '16","0,131","0,144","0,262","0,058","-4,38%"
"Wrz. '16","0,115","0,142","0,211","0,061","-12,21%"
"Paź. '16","0,319","0,115","0,401","0,089","177,39%"
"Lis. '16","0,223","0,335","0,384","0,177","-30,09%"
"Gru. '16","0,103","0,219","0,283","0,080","-53,81%"
"Sty. '17","0,254","0,114","0,317","0,089","146,60%"
"Luty '17","0,237","0,276","0,291","0,067","-6,69%"
"Mar. '17","0,241","0,249","0,324","0,184","1,69%"
"Kwi. '17","0,192","0,235","0,249","0,162","-20,33%"
"Maj '17","0,189","0,189","0,281","0,137","-1,56%"
"Cze. '17","0,432","0,192","0,463","0,121","128,57%"
"Lip. '17","0,318","0,443","0,460","0,277","-26,39%"
"Sie. '17","0,205","0,336","0,355","0,172","-35,53%"
"Wrz. '17","0,540","0,204","0,579","0,168","163,41%"
"Paź. '17","0,536","0,561","0,624","0,485","-0,74%"
"Lis. '17","0,567","0,550","0,600","0,459","5,78%"
"Gru. '17","0,492","0,562","0,603","0,455","-13,23%"
"Sty. '18","0,777","0,494","0,777","0,494","57,93%"
"Luty '18","0,835","0,782","0,901","0,701","7,46%"
"Mar. '18","0,869","0,842","1,023","0,783","4,07%"
"Kwi. '18","0,822","0,856","0,983","0,809","-5,41%"
"Maj '18","0,650","0,827","0,922","0,580","-20,92%"
"Cze. '18","0,732","0,679","0,830","0,662","12,62%"
"Lip. '18","0,803","0,721","0,841","0,684","9,70%"
"Sie. '18","0,780","0,824","0,864","0,717","-2,86%"
"Wrz. '18","0,860","0,784","0,914","0,752","10,26%"
"Paź. '18","0,760","0,863","0,980","0,697","-11,63%"
"Lis. '18","0,772","0,776","0,873","0,669","1,58%"
"Gru. '18","0,741","0,784","0,792","0,654","-4,02%"
"Sty. '19","0,761","0,724","0,855","0,675","2,70%"
"Luty '19","0,875","0,766","0,896","0,691","14,98%"
"Mar. '19","0,639","0,879","0,887","0,627","-26,97%"
"Kwi. '19","0,750","0,645","0,849","0,628","17,37%"
